Folder name,Number of Images,Folder Location,Year,Decade,Journal
1796_3_15901,131,BP2 prepped images,1796,1790s,"British critic, and quarterly theological review"
1797_0_15901,604,BP2 prepped images,1797,1790s,"British critic, and quarterly theological review"
1797_1_15901,620,BP2 prepped images,1797,1790s,"British critic, and quarterly theological review"
1797_2_15901,610,BP2 prepped images,1797,1790s,"British critic, and quarterly theological review"
1797_3_15901,266,BP2 prepped images,1797,1790s,"British critic, and quarterly theological review"
1798_0_15901,618,BP2 prepped images,1798,1790s,"British critic, and quarterly theological review"
1798_1_15901,624,BP2 prepped images,1798,1790s,"British critic, and quarterly theological review"
1798_2_15901,633,BP2 prepped images,1798,1790s,"British critic, and quarterly theological review"
1826_0_1759,239,BP2 prepped images,1826,1820s,Examiner
1826_1_1759,243,BP2 prepped images,1826,1820s,Examiner
1826_2_1759,236,BP2 prepped images,1826,1820s,Examiner
1826_3_1759,238,BP2 prepped images,1826,1820s,Examiner
1826_4_1759,227,BP2 prepped images,1826,1820s,Examiner
1826_6_1759,218,BP2 prepped images,1826,1820s,Examiner
1826_7_1759,195,BP2 prepped images,1826,1820s,Examiner
1827_0_1759,218,BP2 prepped images,1827,1820s,Examiner
1827_1_1759,228,BP2 prepped images,1827,1820s,Examiner
1827_2_1759,241,BP2 prepped images,1827,1820s,Examiner
1827_3_1759,237,BP2 prepped images,1827,1820s,Examiner
1827_4_1759,238,BP2 prepped images,1827,1820s,Examiner
1827_5_1759,233,BP2 prepped images,1827,1820s,Examiner
1827_6_1759,224,BP2 prepped images,1827,1820s,Examiner
1827_7_1759,174,BP2 prepped images,1827,1820s,Examiner
1828_0_1759,244,BP2 prepped images,1828,1820s,Examiner
1828_1_1759,234,BP2 prepped images,1828,1820s,Examiner
1828_2_1759,228,BP2 prepped images,1828,1820s,Examiner
1828_3_1759,229,BP2 prepped images,1828,1820s,Examiner
1828_4_1759,215,BP2 prepped images,1828,1820s,Examiner
1828_5_1759,225,BP2 prepped images,1828,1820s,Examiner
1828_7_1759,233,BP2 prepped images,1828,1820s,Examiner
1828_8_1759,233,BP2 prepped images,1828,1820s,Examiner
1828_9_1759,242,BP2 prepped images,1828,1820s,Examiner
1828_10_1759,99,BP2 prepped images,1828,1820s,Examiner
1829_0_1759,235,BP2 prepped images,1829,1820s,Examiner
1829_1_1759,244,BP2 prepped images,1829,1820s,Examiner
1829_2_1759,248,BP2 prepped images,1829,1820s,Examiner
1829_3_1759,256,BP2 prepped images,1829,1820s,Examiner
1829_4_1759,248,BP2 prepped images,1829,1820s,Examiner
1829_5_1759,249,BP2 prepped images,1829,1820s,Examiner
1829_6_1759,232,BP2 prepped images,1829,1820s,Examiner
1829_7_1759,227,BP2 prepped images,1829,1820s,Examiner
1829_8_1759,234,BP2 prepped images,1829,1820s,Examiner
1829_9_1759,228,BP2 prepped images,1829,1820s,Examiner
1829_10_1759,58,BP2 prepped images,1829,1820s,Examiner
1830_0_1759,204,BP2 prepped images,1830,1830s,Examiner
1830_1_1759,223,BP2 prepped images,1830,1830s,Examiner
1830_2_1759,234,BP2 prepped images,1830,1830s,Examiner
1830_3_1759,203,BP2 prepped images,1830,1830s,Examiner
1830_4_1759,215,BP2 prepped images,1830,1830s,Examiner
1830_5_1759,217,BP2 prepped images,1830,1830s,Examiner
1830_6_1759,223,BP2 prepped images,1830,1830s,Examiner
1830_7_1759,219,BP2 prepped images,1830,1830s,Examiner
1830_8_1759,220,BP2 prepped images,1830,1830s,Examiner
1830_9_1759,226,BP2 prepped images,1830,1830s,Examiner
1830_10_1759,239,BP2 prepped images,1830,1830s,Examiner
1830_11_1759,42,BP2 prepped images,1830,1830s,Examiner
1831_0_1759,227,BP2 prepped images,1831,1830s,Examiner
1831_1_1759,221,BP2 prepped images,1831,1830s,Examiner
1831_2_1759,224,BP2 prepped images,1831,1830s,Examiner
1831_3_1759,217,BP2 prepped images,1831,1830s,Examiner
1831_4_1759,222,BP2 prepped images,1831,1830s,Examiner
1831_5_1759,210,BP2 prepped images,1831,1830s,Examiner
1831_6_1759,207,BP2 prepped images,1831,1830s,Examiner
1831_7_1759,218,BP2 prepped images,1831,1830s,Examiner
1831_8_1759,221,BP2 prepped images,1831,1830s,Examiner
1831_9_1759,206,BP2 prepped images,1831,1830s,Examiner
1831_10_1759,207,BP2 prepped images,1831,1830s,Examiner
1831_11_1759,204,BP2 prepped images,1831,1830s,Examiner
1831_12_1759,43,BP2 prepped images,1831,1830s,Examiner
1832_0_1759,201,BP2 prepped images,1832,1830s,Examiner
1832_1_1759,200,BP2 prepped images,1832,1830s,Examiner
1832_2_1759,187,BP2 prepped images,1832,1830s,Examiner
1832_3_1759,199,BP2 prepped images,1832,1830s,Examiner
1832_4_1759,185,BP2 prepped images,1832,1830s,Examiner
1832_5_1759,196,BP2 prepped images,1832,1830s,Examiner
1832_6_1759,197,BP2 prepped images,1832,1830s,Examiner
1832_7_1759,207,BP2 prepped images,1832,1830s,Examiner
1832_8_1759,187,BP2 prepped images,1832,1830s,Examiner
1832_9_1759,199,BP2 prepped images,1832,1830s,Examiner
1832_10_1759,193,BP2 prepped images,1832,1830s,Examiner
1832_11_1759,199,BP2 prepped images,1832,1830s,Examiner
1832_12_1759,197,BP2 prepped images,1832,1830s,Examiner
1832_13_1759,194,BP2 prepped images,1832,1830s,Examiner
1832_14_1759,30,BP2 prepped images,1832,1830s,Examiner
1833_0_1759,212,BP2 prepped images,1833,1830s,Examiner
1833_1_1759,209,BP2 prepped images,1833,1830s,Examiner
1833_2_1759,217,BP2 prepped images,1833,1830s,Examiner
1833_3_1759,201,BP2 prepped images,1833,1830s,Examiner
1833_4_1759,222,BP2 prepped images,1833,1830s,Examiner
1833_5_1759,221,BP2 prepped images,1833,1830s,Examiner
1833_6_1759,227,BP2 prepped images,1833,1830s,Examiner
1833_7_1759,217,BP2 prepped images,1833,1830s,Examiner
1833_8_1759,222,BP2 prepped images,1833,1830s,Examiner
1833_9_1759,203,BP2 prepped images,1833,1830s,Examiner
1833_10_1759,207,BP2 prepped images,1833,1830s,Examiner
1833_11_1759,115,BP2 prepped images,1833,1830s,Examiner
1834_0_1759,207,BP2 prepped images,1834,1830s,Examiner
1834_1_1759,205,BP2 prepped images,1834,1830s,Examiner
1834_2_1759,197,BP2 prepped images,1834,1830s,Examiner
1834_3_1759,198,BP2 prepped images,1834,1830s,Examiner
1834_4_1759,205,BP2 prepped images,1834,1830s,Examiner
1834_5_1759,196,BP2 prepped images,1834,1830s,Examiner
1834_6_1759,188,BP2 prepped images,1834,1830s,Examiner
1834_7_1759,187,BP2 prepped images,1834,1830s,Examiner
1834_8_1759,198,BP2 prepped images,1834,1830s,Examiner
1834_9_1759,194,BP2 prepped images,1834,1830s,Examiner
1834_10_1759,197,BP2 prepped images,1834,1830s,Examiner
1834_11_1759,194,BP2 prepped images,1834,1830s,Examiner
1834_12_1759,26,BP2 prepped images,1834,1830s,Examiner
1835_0_1759,230,BP2 prepped images,1835,1830s,Examiner
1835_1_1759,201,BP2 prepped images,1835,1830s,Examiner
1835_2_1759,207,BP2 prepped images,1835,1830s,Examiner
1835_3_1759,210,BP2 prepped images,1835,1830s,Examiner
1835_4_1759,198,BP2 prepped images,1835,1830s,Examiner
1835_5_1759,199,BP2 prepped images,1835,1830s,Examiner
1835_6_1759,182,BP2 prepped images,1835,1830s,Examiner
1835_7_1759,196,BP2 prepped images,1835,1830s,Examiner
1835_8_1759,194,BP2 prepped images,1835,1830s,Examiner
1835_9_1759,197,BP2 prepped images,1835,1830s,Examiner
1835_10_1759,212,BP2 prepped images,1835,1830s,Examiner
1835_11_1759,194,BP2 prepped images,1835,1830s,Examiner
1835_12_1759,99,BP2 prepped images,1835,1830s,Examiner
1836_0_1759,224,BP2 prepped images,1836,1830s,Examiner
1836_1_1759,201,BP2 prepped images,1836,1830s,Examiner
1836_2_1759,191,BP2 prepped images,1836,1830s,Examiner
1836_3_1759,203,BP2 prepped images,1836,1830s,Examiner
1836_4_1759,200,BP2 prepped images,1836,1830s,Examiner
1836_5_1759,190,BP2 prepped images,1836,1830s,Examiner
1836_6_1759,204,BP2 prepped images,1836,1830s,Examiner
1836_7_1759,199,BP2 prepped images,1836,1830s,Examiner
1836_8_1759,185,BP2 prepped images,1836,1830s,Examiner
1836_9_1759,178,BP2 prepped images,1836,1830s,Examiner
1836_10_1759,167,BP2 prepped images,1836,1830s,Examiner
1836_11_1759,162,BP2 prepped images,1836,1830s,Examiner
1836_12_1759,100,BP2 prepped images,1836,1830s,Examiner
1837_0_1759,166,BP2 prepped images,1837,1830s,Examiner
1837_1_1759,168,BP2 prepped images,1837,1830s,Examiner
1837_2_1759,158,BP2 prepped images,1837,1830s,Examiner
1837_3_1759,177,BP2 prepped images,1837,1830s,Examiner
1837_4_1759,183,BP2 prepped images,1837,1830s,Examiner
1837_5_1759,188,BP2 prepped images,1837,1830s,Examiner
1837_6_1759,174,BP2 prepped images,1837,1830s,Examiner
1837_7_1759,180,BP2 prepped images,1837,1830s,Examiner
1837_9_1759,152,BP2 prepped images,1837,1830s,Examiner
1837_10_1759,168,BP2 prepped images,1837,1830s,Examiner
1837_11_1759,167,BP2 prepped images,1837,1830s,Examiner
1837_12_1759,167,BP2 prepped images,1837,1830s,Examiner
1837_13_1759,155,BP2 prepped images,1837,1830s,Examiner
1837_14_1759,50,BP2 prepped images,1837,1830s,Examiner
1838_0_1759,169,BP2 prepped images,1838,1830s,Examiner
1838_1_1759,175,BP2 prepped images,1838,1830s,Examiner
1838_2_1759,144,BP2 prepped images,1838,1830s,Examiner
1838_3_1759,193,BP2 prepped images,1838,1830s,Examiner
1838_4_1759,177,BP2 prepped images,1838,1830s,Examiner
1838_5_1759,169,BP2 prepped images,1838,1830s,Examiner
1838_6_1759,169,BP2 prepped images,1838,1830s,Examiner
1838_7_1759,172,BP2 prepped images,1838,1830s,Examiner
1838_8_1759,170,BP2 prepped images,1838,1830s,Examiner
1838_9_1759,169,BP2 prepped images,1838,1830s,Examiner
1838_10_1759,169,BP2 prepped images,1838,1830s,Examiner
1838_11_1759,178,BP2 prepped images,1838,1830s,Examiner
1838_12_1759,167,BP2 prepped images,1838,1830s,Examiner
1838_13_1759,154,BP2 prepped images,1838,1830s,Examiner
1838_14_1759,156,BP2 prepped images,1838,1830s,Examiner
1838_15_1759,29,BP2 prepped images,1838,1830s,Examiner
1839_0_1759,168,BP2 prepped images,1839,1830s,Examiner
1839_1_1759,166,BP2 prepped images,1839,1830s,Examiner
1839_2_1759,179,BP2 prepped images,1839,1830s,Examiner
1839_3_1759,158,BP2 prepped images,1839,1830s,Examiner
1839_4_1759,179,BP2 prepped images,1839,1830s,Examiner
1839_5_1759,183,BP2 prepped images,1839,1830s,Examiner
1839_6_1759,170,BP2 prepped images,1839,1830s,Examiner
1839_7_1759,171,BP2 prepped images,1839,1830s,Examiner
1839_8_1759,176,BP2 prepped images,1839,1830s,Examiner
1839_9_1759,173,BP2 prepped images,1839,1830s,Examiner
1839_10_1759,168,BP2 prepped images,1839,1830s,Examiner
1839_11_1759,164,BP2 prepped images,1839,1830s,Examiner
1839_12_1759,158,BP2 prepped images,1839,1830s,Examiner
1839_13_1759,167,BP2 prepped images,1839,1830s,Examiner
1839_14_1759,70,BP2 prepped images,1839,1830s,Examiner
1799_0_2952,402,BP2 prepped images,1799,1790s,Monthly Magazine
1799_1_2952,419,BP2 prepped images,1799,1790s,Monthly Magazine
1799_2_2952,407,BP2 prepped images,1799,1790s,Monthly Magazine
1799_3_2952,420,BP2 prepped images,1799,1790s,Monthly Magazine
1800_0_2952,412,BP2 prepped images,1800,1800s,Monthly Magazine
1800_1_2952,381,BP2 prepped images,1800,1800s,Monthly Magazine
1800_2_2952,382,BP2 prepped images,1800,1800s,Monthly Magazine
1800_3_2952,362,BP2 prepped images,1800,1800s,Monthly Magazine
1800_4_2952,392,BP2 prepped images,1800,1800s,Monthly Magazine
1800_5_2952,224,BP2 prepped images,1800,1800s,Monthly Magazine
1801_0_2952,407,BP2 prepped images,1801,1800s,Monthly Magazine
1801_1_2952,398,BP2 prepped images,1801,1800s,Monthly Magazine
1801_2_2952,401,BP2 prepped images,1801,1800s,Monthly Magazine
1801_3_2952,388,BP2 prepped images,1801,1800s,Monthly Magazine
1801_4_2952,418,BP2 prepped images,1801,1800s,Monthly Magazine
1801_5_2952,2,BP2 prepped images,1801,1800s,Monthly Magazine
1802_0_2952,407,BP2 prepped images,1802,1800s,Monthly Magazine
1802_1_2952,377,BP2 prepped images,1802,1800s,Monthly Magazine
1802_2_2952,389,BP2 prepped images,1802,1800s,Monthly Magazine
1802_3_2952,359,BP2 prepped images,1802,1800s,Monthly Magazine
1802_4_2952,377,BP2 prepped images,1802,1800s,Monthly Magazine
1802_5_2952,201,BP2 prepped images,1802,1800s,Monthly Magazine
1803_0_2952,386,BP2 prepped images,1803,1800s,Monthly Magazine
1803_1_2952,389,BP2 prepped images,1803,1800s,Monthly Magazine
1803_2_2952,393,BP2 prepped images,1803,1800s,Monthly Magazine
1803_3_2952,434,BP2 prepped images,1803,1800s,Monthly Magazine
1803_4_2952,456,BP2 prepped images,1803,1800s,Monthly Magazine
1803_5_2952,110,BP2 prepped images,1803,1800s,Monthly Magazine
1804_0_2952,397,BP2 prepped images,1804,1800s,Monthly Magazine
1804_1_2952,405,BP2 prepped images,1804,1800s,Monthly Magazine
1804_2_2952,424,BP2 prepped images,1804,1800s,Monthly Magazine
1804_3_2952,406,BP2 prepped images,1804,1800s,Monthly Magazine
1804_4_2952,416,BP2 prepped images,1804,1800s,Monthly Magazine
1804_5_2952,74,BP2 prepped images,1804,1800s,Monthly Magazine
1805_0_2952,405,BP2 prepped images,1805,1800s,Monthly Magazine
1805_1_2952,417,BP2 prepped images,1805,1800s,Monthly Magazine
1805_2_2952,423,BP2 prepped images,1805,1800s,Monthly Magazine
1805_3_2952,414,BP2 prepped images,1805,1800s,Monthly Magazine
1805_4_2952,406,BP2 prepped images,1805,1800s,Monthly Magazine
1806_0_2952,434,BP2 prepped images,1806,1800s,Monthly Magazine
1806_1_2952,448,BP2 prepped images,1806,1800s,Monthly Magazine
