Folder name,Number of Images,Folder Location,Year,Decade,Journal
1836_0_17729,823,BP2 prepped images,1836,1830s,Blackwood's Edinburgh magazine
1836_1_17729,798,BP2 prepped images,1836,1830s,Blackwood's Edinburgh magazine
1836_2_17729,196,BP2 prepped images,1836,1830s,Blackwood's Edinburgh magazine
1837_0_17729,799,BP2 prepped images,1837,1830s,Blackwood's Edinburgh magazine
1837_1_17729,825,BP2 prepped images,1837,1830s,Blackwood's Edinburgh magazine
1837_2_17729,174,BP2 prepped images,1837,1830s,Blackwood's Edinburgh magazine
1838_0_17729,886,BP2 prepped images,1838,1830s,Blackwood's Edinburgh magazine
1838_1_17729,903,BP2 prepped images,1838,1830s,Blackwood's Edinburgh magazine
1838_2_17729,12,BP2 prepped images,1838,1830s,Blackwood's Edinburgh magazine
1839_0_17729,666,BP2 prepped images,1839,1830s,Blackwood's Edinburgh magazine
1839_1_17729,714,BP2 prepped images,1839,1830s,Blackwood's Edinburgh magazine
1839_2_17729,374,BP2 prepped images,1839,1830s,Blackwood's Edinburgh magazine
1793_0_15901,578,BP2 prepped images,1793,1790s,"British critic, and quarterly theological review"
1793_1_15901,609,BP2 prepped images,1793,1790s,"British critic, and quarterly theological review"
1793_2_15901,212,BP2 prepped images,1793,1790s,"British critic, and quarterly theological review"
1794_0_15901,645,BP2 prepped images,1794,1790s,"British critic, and quarterly theological review"
1794_1_15901,650,BP2 prepped images,1794,1790s,"British critic, and quarterly theological review"
1794_2_15901,678,BP2 prepped images,1794,1790s,"British critic, and quarterly theological review"
1794_3_15901,71,BP2 prepped images,1794,1790s,"British critic, and quarterly theological review"
1795_0_15901,662,BP2 prepped images,1795,1790s,"British critic, and quarterly theological review"
1795_1_15901,628,BP2 prepped images,1795,1790s,"British critic, and quarterly theological review"
1795_2_15901,631,BP2 prepped images,1795,1790s,"British critic, and quarterly theological review"
1795_3_15901,236,BP2 prepped images,1795,1790s,"British critic, and quarterly theological review"
1796_0_15901,647,BP2 prepped images,1796,1790s,"British critic, and quarterly theological review"
1796_1_15901,678,BP2 prepped images,1796,1790s,"British critic, and quarterly theological review"
1796_2_15901,689,BP2 prepped images,1796,1790s,"British critic, and quarterly theological review"
